scenario,year,variable,commodity,sector,subsector,value
BAU,2017,output,,AgFFF,,412840.97
BAU,2017,production cost,,AgFFF,,0.97448254
BAU,2017,capital demand,,AgFFF,,120705.336
BAU,2017,labor demand,,AgFFF,,53505.895
BAU,2017,CO2,,AgFFF,,472.41318
BAU,2017,energy demand,Coal,AgFFF,,1.8228214
BAU,2017,energy demand,RefPet,AgFFF,,4703.842
BAU,2017,energy demand,Elec,AgFFF,,3786.2688
BAU,2017,energy demand,GasDist,AgFFF,,188.25792
BAU,2017,domestic demand,,AgFFF,,342131.94
BAU,2017,commodity price,,AgFFF,,0.9735356
BAU,2017,investment,,AgFFF,,821.8757
BAU,2017,government consumption,AgFFF,,,2999.1274
BAU,2017,household consumption,AgFFF,RuralHH,,43363.92
BAU,2017,household consumption,AgFFF,UrbanHH,,33969.164
BAU,2017,output,,Coal,,45965.215
BAU,2017,production cost,,Coal,,0.96806806
BAU,2017,capital demand,,Coal,,16536.785
BAU,2017,labor demand,,Coal,,2959.9893
BAU,2017,CO2,,Coal,,24.530542
BAU,2017,energy demand,Coal,Coal,,13.29412
BAU,2017,energy demand,RefPet,Coal,,342.45172
BAU,2017,energy demand,Elec,Coal,,996.8759
BAU,2017,energy demand,GasDist,Coal,,3.16847
BAU,2017,domestic demand,,Coal,,36271.84
BAU,2017,commodity price,,Coal,,0.9634096
BAU,2017,investment,,Coal,,0.0
BAU,2017,government consumption,Coal,,,0.0
BAU,2017,household consumption,Coal,RuralHH,,6.063823
BAU,2017,household consumption,Coal,UrbanHH,,3.7086444
BAU,2017,output,,OilGas,,234953.56
BAU,2017,production cost,,OilGas,,0.95598006
BAU,2017,capital demand,,OilGas,,108522.14
BAU,2017,labor demand,,OilGas,,8892.497
BAU,2017,CO2,,OilGas,,515.88104
BAU,2017,energy demand,Coal,OilGas,,34.761574
BAU,2017,energy demand,RefPet,OilGas,,1171.5625
BAU,2017,energy demand,Elec,OilGas,,2928.14
BAU,2017,energy demand,GasDist,OilGas,,31.129549
BAU,2017,domestic demand,,OilGas,,196861.19
BAU,2017,commodity price,,OilGas,,0.9656438
BAU,2017,investment,,OilGas,,0.0
BAU,2017,government consumption,OilGas,,,0.0
BAU,2017,household consumption,OilGas,RuralHH,,60.248344
BAU,2017,household consumption,OilGas,UrbanHH,,36.84835
BAU,2017,output,,OXT,,241488.31
BAU,2017,production cost,,OXT,,0.980476
BAU,2017,capital demand,,OXT,,85985.46
BAU,2017,labor demand,,OXT,,39214.11
BAU,2017,CO2,,OXT,,11.115467
BAU,2017,energy demand,Coal,OXT,,3.5037713
BAU,2017,energy demand,RefPet,OXT,,1512.2407
BAU,2017,energy demand,Elec,OXT,,5116.1904
BAU,2017,energy demand,GasDist,OXT,,54.0258
BAU,2017,domestic demand,,OXT,,230117.58
BAU,2017,commodity price,,OXT,,0.9803463
BAU,2017,investment,,OXT,,167930.3
BAU,2017,government consumption,OXT,,,7.8929768
BAU,2017,household consumption,OXT,RuralHH,,97.87982
BAU,2017,household consumption,OXT,UrbanHH,,70.4717
BAU,2017,output,,FoodPr,,917189.5
BAU,2017,production cost,,FoodPr,,0.9885224
BAU,2017,capital demand,,FoodPr,,109950.12
BAU,2017,labor demand,,FoodPr,,88639.125
BAU,2017,CO2,,FoodPr,,130.30176
BAU,2017,energy demand,Coal,FoodPr,,328.49707
BAU,2017,energy demand,RefPet,FoodPr,,266.8823
BAU,2017,energy demand,Elec,FoodPr,,7719.309
BAU,2017,energy demand,GasDist,FoodPr,,1952.025
BAU,2017,domestic demand,,FoodPr,,848626.8
BAU,2017,commodity price,,FoodPr,,0.9884864
BAU,2017,investment,,FoodPr,,32.99757
BAU,2017,government consumption,FoodPr,,,54.263634
BAU,2017,household consumption,FoodPr,RuralHH,,295490.5
BAU,2017,household consumption,FoodPr,UrbanHH,,231472.72
BAU,2017,output,,Textile,,53901.613
BAU,2017,production cost,,Textile,,0.99975646
BAU,2017,capital demand,,Textile,,4220.427
BAU,2017,labor demand,,Textile,,8858.825
BAU,2017,CO2,,Textile,,14.911302
BAU,2017,energy demand,Coal,Textile,,8.433144
BAU,2017,energy demand,RefPet,Textile,,25.676992
BAU,2017,energy demand,Elec,Textile,,1568.7388
BAU,2017,energy demand,GasDist,Textile,,143.66914
BAU,2017,domestic demand,,Textile,,42216.918
BAU,2017,commodity price,,Textile,,0.9965615
BAU,2017,investment,,Textile,,1685.8744
BAU,2017,government consumption,Textile,,,17.860502
BAU,2017,household consumption,Textile,RuralHH,,8991.199
BAU,2017,household consumption,Textile,UrbanHH,,9954.762
BAU,2017,output,,Apparel,,17540.967
BAU,2017,production cost,,Apparel,,1.0353879
BAU,2017,capital demand,,Apparel,,164.15016
BAU,2017,labor demand,,Apparel,,4640.7812
BAU,2017,CO2,,Apparel,,2.0732636
BAU,2017,energy demand,Coal,Apparel,,0.039003413
BAU,2017,energy demand,RefPet,Apparel,,2.1998386
BAU,2017,energy demand,Elec,Apparel,,50.340202
BAU,2017,energy demand,GasDist,Apparel,,8.720172
BAU,2017,domestic demand,,Apparel,,15336.663
BAU,2017,commodity price,,Apparel,,0.9973311
BAU,2017,investment,,Apparel,,9.432904
BAU,2017,government consumption,Apparel,,,18.34479
BAU,2017,household consumption,Apparel,RuralHH,,43184.004
BAU,2017,household consumption,Apparel,UrbanHH,,34401.285
BAU,2017,output,,LEA,,10033.813
BAU,2017,production cost,,LEA,,1.0059444
BAU,2017,capital demand,,LEA,,706.3332
BAU,2017,labor demand,,LEA,,1353.0312
BAU,2017,CO2,,LEA,,0.017543234
BAU,2017,energy demand,Coal,LEA,,0.006820831
BAU,2017,energy demand,RefPet,LEA,,0.6646914
BAU,2017,energy demand,Elec,LEA,,35.382706
BAU,2017,energy demand,GasDist,LEA,,0.26399717
BAU,2017,domestic demand,,LEA,,8185.59
BAU,2017,commodity price,,LEA,,0.9917449
BAU,2017,investment,,LEA,,0.39993927
BAU,2017,government consumption,LEA,,,5.7190766
BAU,2017,household consumption,LEA,RuralHH,,18589.92
BAU,2017,household consumption,LEA,UrbanHH,,16773.887
BAU,2017,output,,WoodPr,,90180.87
BAU,2017,production cost,,WoodPr,,1.0001509
BAU,2017,capital demand,,WoodPr,,9306.185
BAU,2017,labor demand,,WoodPr,,14523.547
BAU,2017,CO2,,WoodPr,,46.926517
BAU,2017,energy demand,Coal,WoodPr,,0.24779996
BAU,2017,energy demand,RefPet,WoodPr,,483.20688
BAU,2017,energy demand,Elec,WoodPr,,2178.7097
BAU,2017,energy demand,GasDist,WoodPr,,164.96686
BAU,2017,domestic demand,,WoodPr,,83159.7
BAU,2017,commodity price,,WoodPr,,0.99895495
BAU,2017,investment,,WoodPr,,4091.733
BAU,2017,government consumption,WoodPr,,,2.3823247
BAU,2017,household consumption,WoodPr,RuralHH,,2149.0916
BAU,2017,household consumption,WoodPr,UrbanHH,,1527.906
BAU,2017,output,,PaperPr,,283466.88
BAU,2017,production cost,,PaperPr,,0.99744666
BAU,2017,capital demand,,PaperPr,,39776.58
BAU,2017,labor demand,,PaperPr,,45731.074
BAU,2017,CO2,,PaperPr,,72.462746
BAU,2017,energy demand,Coal,PaperPr,,183.68591
BAU,2017,energy demand,RefPet,PaperPr,,170.20036
